chain,layer,feature_idx,rank,stage_from,stage_to,dec_cos,dec_drift,enc_cos,density_start,density_end
strict,18,2031,20,instruct_base,ppo_step116,-0.03306925669312477,1.0330692529678345,0.2409312129020691,0.0008749495027586818,0.00208641798235476
strict,23,4517,1,instruct_base,ppo_step116,0.20218616724014282,0.7978138327598572,0.14230194687843323,0.02115583047270775,0.25090861320495605
strict,23,1102,2,instruct_base,ppo_step116,0.21275487542152405,0.7872451543807983,0.1602025032043457,0.022098084911704063,0.24031947553157806
strict,23,736,3,instruct_base,ppo_step116,0.21823877096176147,0.7817612290382385,0.1723843663930893,0.03365190327167511,0.2383452206850052
strict,23,6404,4,instruct_base,ppo_step116,0.22023062407970428,0.7797693610191345,0.20893985033035278,0.01761116273701191,0.19446313381195068
strict,23,5792,5,instruct_base,ppo_step116,0.22570812702178955,0.7742918729782104,0.18153956532478333,0.037308745086193085,0.26060035824775696
strict,23,3690,6,instruct_base,ppo_step116,0.22617855668067932,0.7738214731216431,0.2195032238960266,0.035491541028022766,0.2133755087852478
strict,23,70,7,instruct_base,ppo_step116,0.22687844932079315,0.7731215357780457,0.1443518102169037,0.01628752239048481,0.2679140269756317
strict,23,3544,8,instruct_base,ppo_step116,0.2382381707429886,0.7617618441581726,0.21992763876914978,0.02270381897687912,0.2004307508468628
strict,23,979,9,instruct_base,ppo_step116,0.23881039023399353,0.7611895799636841,0.1497049182653427,0.02393772080540657,0.2565172612667084
strict,23,1258,10,instruct_base,ppo_step116,0.24705731868743896,0.752942681312561,0.18430468440055847,0.04302956908941269,0.24164311587810516
strict,23,2028,11,instruct_base,ppo_step116,0.24901095032691956,0.7509890794754028,0.23126858472824097,0.030084803700447083,0.26896846294403076
strict,23,2476,12,instruct_base,ppo_step116,0.2576761245727539,0.7423238754272461,0.16931316256523132,0.03843047469854355,0.19623547792434692
strict,23,934,13,instruct_base,ppo_step116,0.260366290807724,0.7396336793899536,0.2603714168071747,0.01328128483146429,0.062300894409418106
strict,23,5609,14,instruct_base,ppo_step116,0.2622038424015045,0.7377961874008179,0.21205975115299225,0.05707363039255142,0.26710638403892517
strict,23,2288,15,instruct_base,ppo_step116,0.2622261941432953,0.7377737760543823,0.20357775688171387,0.06467895954847336,0.12383900582790375
strict,23,5176,16,instruct_base,ppo_step116,0.26500797271728516,0.7349920272827148,0.20098762214183807,0.059406828135252,0.32444924116134644
strict,23,805,17,instruct_base,ppo_step116,0.28153926134109497,0.718460738658905,0.24923737347126007,0.042423833161592484,0.2576838433742523
strict,23,1784,18,instruct_base,ppo_step116,0.28588300943374634,0.7141169905662537,0.22220830619335175,0.035581279546022415,0.2548346519470215
strict,23,2652,19,instruct_base,ppo_step116,0.2878987491130829,0.7121012210845947,0.24024337530136108,0.04639475792646408,0.2016422152519226
strict,23,1827,20,instruct_base,ppo_step116,0.294611394405365,0.705388605594635,0.2580665946006775,0.020505227148532867,0.276528924703598
shuffled,6,5728,1,instruct_base,ppo_step30,0.22373399138450623,0.7762659788131714,0.35906538367271423,6.730380846420303e-05,0.06277202069759369
shuffled,6,5338,2,instruct_base,ppo_step30,0.22439035773277283,0.7756096124649048,0.6283820867538452,0.0001794768322724849,0.0029164983425289392
shuffled,6,4908,3,instruct_base,ppo_step30,0.24150969088077545,0.7584903240203857,0.6459383368492126,0.0002467806334607303,0.003118409775197506
shuffled,6,1812,4,instruct_base,ppo_step30,0.24995774030685425,0.7500422596931458,0.6399102807044983,0.00015704221732448786,0.003477363381534815
shuffled,6,4478,5,instruct_base,ppo_step30,0.2657583951950073,0.7342416048049927,0.6728541254997253,0.00031408443464897573,0.0045317900367081165
shuffled,6,6075,6,instruct_base,ppo_step30,0.2703912854194641,0.7296087145805359,0.5401057004928589,2.2434604034060612e-05,0.0028043254278600216
shuffled,6,1084,7,instruct_base,ppo_step30,0.27301904559135437,0.7269809246063232,0.6730567812919617,0.00011217301653232425,0.001189033966511488
shuffled,6,2393,8,instruct_base,ppo_step30,0.2789785861968994,0.7210214138031006,0.5805360078811646,0.0004711266665253788,0.002983802231028676
shuffled,6,6041,9,instruct_base,ppo_step30,0.285771906375885,0.714228093624115,0.5345969796180725,0.0,0.015569614246487617
shuffled,6,1199,10,instruct_base,ppo_step30,0.2924531400203705,0.7075468301773071,0.7051982879638672,4.4869208068121225e-05,0.0020415489561855793
shuffled,6,5633,11,instruct_base,ppo_step30,0.29381969571113586,0.7061803340911865,0.5840450525283813,0.0009198187035508454,0.0018172028940171003
shuffled,6,2420,12,instruct_base,ppo_step30,0.2961404621601105,0.7038595676422119,0.6400138139724731,0.0010319917928427458,0.0025575447361916304
shuffled,6,6582,13,instruct_base,ppo_step30,0.299544095993042,0.700455904006958,0.6029331684112549,0.00015704221732448786,0.005294566508382559
shuffled,6,7082,14,instruct_base,ppo_step30,0.3013140559196472,0.6986859440803528,0.6284536123275757,0.0,0.012226859107613564
shuffled,6,5623,15,instruct_base,ppo_step30,0.30139026045799255,0.6986097097396851,0.7339581847190857,0.004329878371208906,0.005877865944057703
